Date,Distance
2007/01/01 12:00:01,62
2007/01/01 12:00:02,62
2007/01/01 12:00:03,62
2007/01/01 12:00:04,57
2007/01/01 12:00:05,54
2007/01/01 12:00:06,55
2007/01/01 12:00:07,62
2007/01/01 12:00:08,66
2007/01/01 12:00:09,63
2007/01/01 12:00:10,57
2007/01/01 12:00:11,59
2007/01/01 12:00:12,63
2007/01/01 12:00:13,72
2007/01/01 12:00:14,81
2007/01/01 12:00:15,42
2007/01/01 12:00:16,55
2007/01/01 12:00:17,66
2007/01/01 12:00:18,69
2007/01/01 12:00:19,80
2007/01/01 12:00:20,83
2007/01/01 12:00:21,74
2007/01/01 12:00:22,19
2007/01/01 12:00:23,34
2007/01/01 12:00:24,43
2007/01/01 12:00:25,56
2007/01/01 12:00:26,64
2007/01/01 12:00:27,59
2007/01/01 12:00:28,57
2007/01/01 12:00:29,68
2007/01/01 12:00:30,64
2007/01/01 12:00:31,57
2007/01/01 12:00:32,57
2007/01/01 12:00:33,59
2007/01/01 12:00:34,61
2007/01/01 12:00:35,67
2007/01/01 12:00:36,68
2007/01/01 12:00:37,65
2007/01/01 12:00:38,59
2007/01/01 12:00:39,54
2007/01/01 12:00:40,53
2007/01/01 12:00:41,55
2007/01/01 12:00:42,80
2007/01/01 12:00:43,92
2007/01/01 12:00:44,100
2007/01/01 12:00:45,87
2007/01/01 12:00:46,63
2007/01/01 12:00:47,48
2007/01/01 12:00:48,59
2007/01/01 12:00:49,60
2007/01/01 12:00:50,63
2007/01/01 12:00:51,61
2007/01/01 12:00:52,62
2007/01/01 12:00:53,72
2007/01/01 12:00:54,76
2007/01/01 12:00:55,80
2007/01/01 12:00:56,82
2007/01/01 12:00:57,77
2007/01/01 12:00:58,74
2007/01/01 12:00:59,75
2007/01/01 12:01:0,69